ObjectId,Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F2020,F2025,F2030,F2035,F2040,F2045,F2050
73,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0,0,0,0.4234,1.19,2.667,4.2639
74,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0,0,0,0.44,1.2468,2.7917,5.5169
75,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0,0,0.0355,0.1185,0.5758,1.2109,2.1844
76,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0,0,0,0,0,0,0
77,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0,0,0.3987,1.0823,2.1604,4.2765,7.1866
78,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,,0,0,0.0096,0.0839,0.3293,0.7709
79,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,,,,0.0095,0.1132,0.502,1.105
80,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,,0,0.0189,0.2278,1.1186,3.248,6.4789
81,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,,0,0,0.0033,0.0043,0.0053,0.0056
82,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,,0.0012,0.0295,0.1979,1.0317,3.7671,7.3323
83,"Afghanistan, Islamic Rep. of",AF,AFG,Primary energy,Biomass,EJ/yr,GCAM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0147,0.0244,0.0277,0.0303,0.0294,0.0265,0.023
84,"Afghanistan, Islamic Rep. of",AF,AFG,Primary energy,Biomass,EJ/yr,GCAM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0137,0.0234,0.0304,0.0363,0.0417,0.0452,0.0466
85,"Afghanistan, Islamic Rep. of",AF,AFG,Primary energy,Biomass,EJ/yr,GCAM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0125,0.0217,0.028,0.0322,0.0265,0.0243,0.0219
86,"Afghanistan, Islamic Rep. of",AF,AFG,Primary energy,Biomass,EJ/yr,GCAM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0126,0.0218,0.0283,0.0296,0.0242,0.0248,0.0254
